database,pathway,genes
PID,PID_MYC_PATHWAY,"['PPP2R5A', 'PAK2', 'SKP2', 'KAT2A', 'TRRAP', 'RUVBL1', 'TAF12', 'TAF10', 'KAT5', 'RUVBL2', 'PPP2CA', 'GSK3B', 'MYC', 'SUPT7L', 'TAF9', 'HBP1', 'AXIN1', 'PML', 'MAX', 'PIN1', 'SUPT3H', 'CDKN2A', 'ZBTB17', 'FBXW7', 'ACTL6A']"
PID,PID_RANBP2_PATHWAY,"['SUMO1', 'PIAS2', 'MDM2', 'RANBP2', 'HDAC4', 'RANGAP1', 'RAN', 'HDAC1', 'XPO1', 'PIAS1', 'UBE2I']"
PID,PID_AR_TF_PATHWAY,"['NCOA1', 'AR', 'RCHY1', 'HDAC7', 'HDAC1', 'RXRA', 'APPBP2', 'KAT2B', 'GATA2', 'POU2F1', 'NR2C2', 'NCOA2', 'FOXO1', 'EGR1', 'MAP2K4', 'PKN1', 'CARM1', 'EP300', 'GSK3B', 'MDM2', 'HSP90AA1', 'SPDEF', 'RXRB', 'SENP1', 'SIRT1', 'MAPK8', 'HOXB13', 'CREBBP', 'CEBPA', 'SRY', 'KAT7', 'EHMT2', 'SRC', 'NR3C1', 'TRIM24', 'SMARCE1', 'REL', 'KAT5', 'ZMIZ2', 'SMARCC1', 'TMPRSS2', 'RACK1', 'PDE9A', 'MAPK14', 'KLK2', 'DNAJA1', 'NR0B1', 'RXRG', 'JUN', 'NR2C1', 'KLK3', 'SMARCA2', 'MAP2K6']"
PID,PID_RXR_VDR_PATHWAY,"['RARB', 'NR4A1', 'NR1H2', 'VDR', 'RXRB', 'NR1H3', 'RXRG', 'PPARG', 'NCOA1', 'THRB', 'RARA', 'PPARD', 'FAM120B', 'PPARA', 'RXRA', 'RARG', 'TNF', 'RPS6KB1', 'TGFB1', 'THRA', 'NR1H4', 'NCOR2', 'SREBF1', 'BCL2', 'ABCA1', 'MED1']"
PID,PID_INTEGRIN2_PATHWAY,"['F11R', 'C3', 'CCN1', 'TGFBI', 'FCGR2A', 'THY1', 'ITGAD', 'PLAUR', 'KNG1', 'ICAM1', 'ITGB2', 'FGB', 'FGA', 'ITGAX', 'CD40LG', 'ICAM4', 'GP1BA', 'ITGAM', 'FGG', 'ICAM3', 'PROC', 'F10', 'VCAM1', 'JAM3', 'PLAT', 'ICAM2', 'PLAU', 'SPON2', 'ITGAL']"
PID,PID_CMYB_PATHWAY,"['MAD1L1', 'CEBPB', 'MAF', 'CDK6', 'GSTM1', 'CSF1R', 'TFEC', 'MAT2A', 'CCNB1', 'COL1A2', 'CREBBP', 'ADA', 'HSPA8', 'ZFHX3', 'EP300', 'UBE2I', 'CASP6', 'TAB1', 'COPA', 'PTGS2', 'SMARCA2', 'CCND1', 'ANPEP', 'CD34', 'SP1', 'KIT', 'PIAS3', 'ADORA2B', 'SIN3A', 'ETS1', 'KITLG', 'MYC', 'PAX5', 'TAB2', 'MPO', 'H2AZ1', 'SPI1', 'NLK', 'PRTN3', 'BCL2', 'CEBPA', 'LECT2', 'CA1', 'RAG2', 'SND1', 'SLC25A3', 'ETS2', 'HES1', 'TOM1', 'CBX4', 'KRAS', 'CD4', 'CEBPD', 'PTCRA', 'ATP2B1', 'WNT1', 'GATA3', 'MYF6', 'GATA1', 'MAP3K7', 'CDKN2A', 'SKI', 'ELANE', 'LYZ', 'NRAS', 'HRAS', 'PPP3CA', 'MYOD1', 'BIRC3', 'TRIM28', 'CCNA1', 'ZFPM1', 'YEATS4', 'IQGAP1', 'CDKN1B', 'MYB', 'CDKN1A', 'HIPK2', 'PIM1', 'PPID', 'CLTA', 'NCOR1', 'LEF1', 'MCM4']"
PID,PID_ERA_GENOMIC_PATHWAY,"['C3', 'POU4F1', 'POU4F2', 'APBB1', 'NR0B1', 'PGR', 'NRIP1', 'AP1B1', 'NCOA2', 'NCOA3', 'EP300', 'NEDD8', 'ABCA3', 'MYC', 'NCOR1', 'HDAC1', 'DSCAM', 'NCOA7', 'CD82', 'SOD1', 'COL18A1', 'PDIA2', 'HSF2', 'UBE2M', 'DDX17', 'ATP5PF', 'NCOR2', 'ANP32A', 'NCOA1', 'NR0B2', 'LCOR', 'PRL', 'KLRC3', 'SAFB', 'DDX54', 'TRIM59', 'CTSD', 'CALCOCO1', 'CCND1', 'CEBPB', 'PRDM15', 'STAT5A', 'ESR1', 'SET', 'GREB1', 'LMO4', 'MED1', 'JUN', 'CHUK', 'MPG', 'NDUFV3', 'AXIN2', 'SRA1', 'PHB2', 'EBAG9', 'PCNA', 'SMAD4', 'UBA3', 'MTA1', 'TFF1', 'XBP1', 'BRCA1', 'HDAC4', 'ESR2']"
PID,PID_RHODOPSIN_PATHWAY,"['GNGT1', 'GRK1', 'GNAT1', 'PDE6A', 'GNB1', 'GUCY2D', 'LRAT', 'PDE6G', 'SLC24A1', 'RHO', 'GUCA1C', 'RGS9BP', 'RDH12', 'PDE6B', 'GUCA1B', 'SAG', 'RDH5', 'RPE65', 'CNGA1', 'GUCA1A', 'GUCY2F', 'RGS9', 'GNB5']"
PID,PID_RETINOIC_ACID_PATHWAY,"['PRKCA', 'RARA', 'MAPK3', 'AKT1', 'MNAT1', 'PRKCG', 'NCOR2', 'HDAC1', 'PRKACA', 'RARB', 'CCNH', 'RARG', 'CDK1', 'NCOA2', 'RXRB', 'HDAC3', 'NCOA3', 'NRIP1', 'MAPK14', 'RBP1', 'CREBBP', 'MAPK8', 'KAT2B', 'EP300', 'MAPK1', 'VDR', 'RXRA', 'RXRG', 'CDK7', 'NCOA1']"
PID,PID_INTEGRIN5_PATHWAY,"['ITGB5', 'ITGAV', 'TGFBR1', 'MADCAM1', 'ITGA4', 'ITGB7', 'PLAU', 'SDC1', 'ITGB6', 'FN1', 'CCN1', 'VCAM1', 'VTN', 'EDIL3', 'FBN1', 'PLAUR', 'ITGB8']"
PID,PID_HNF3A_PATHWAY,"['INS', 'FOS', 'SFTPA1', 'NCOA3', 'CEBPB', 'VTN', 'CYP2C18', 'FOXA2', 'SOD1', 'NFIA', 'DSCAM', 'NKX3-1', 'EP300', 'NDUFV3', 'ESR1', 'AR', 'BRCA1', 'AP1B1', 'CDKN1B', 'SFTPD', 'NRIP1', 'COL18A1', 'SCGB1A1', 'GCG', 'JUN', 'NR2F2', 'PRDM15', 'FOXA1', 'POU2F1', 'CREBBP', 'KLK3', 'APOB', 'SHH', 'FOXA3', 'SP1', 'ATP5PF', 'SFTPA2', 'XBP1', 'C4BPB', 'NFIC', 'TFF1', 'NFIB', 'SERPINA1', 'PISD']"
PID,PID_FANCONI_PATHWAY,"['PALB2', 'UBE2T', 'SSPOP', 'HUS1', 'RPA2', 'FANCL', 'FANCM', 'FBXW11', 'FAAP100', 'BRCA1', 'RAD17', 'FAAP24', 'RAD9A', 'FANCD2', 'TOPBP1', 'ATRIP', 'FANCG', 'FANCC', 'CHEK1', 'CENPS', 'MRE11', 'BRCA2', 'RFC3', 'XRCC3', 'FANCE', 'FANCI', 'FANCF', 'FAN1', 'TOP3A', 'FANCA', 'FANCB', 'RAD1', 'ATM', 'BRIP1', 'RFC4', 'H2AX', 'RAD50', 'ATR', 'RPA1', 'NBN', 'BLM', 'RFC5', 'RMI1', 'HES1', 'USP1', 'WDR48', 'RFC2']"
PID,PID_SMAD2_3NUCLEAR_PATHWAY,"['SMAD4', 'IL5', 'CREB1', 'CREBBP', 'SIN3B', 'NCOA2', 'SP1', 'RBBP4', 'E2F4', 'TCF3', 'DCP1A', 'SKI', 'RBL1', 'MED15', 'FOXO4', 'GATA3', 'SP3', 'HNF4A', 'FOXO3', 'IRF7', 'CITED1', 'FOXH1', 'MEF2C', 'TGIF1', 'SMAD7', 'CBFB', 'NR3C1', 'AR', 'E2F5', 'CTBP1', 'RUNX1', 'EP300', 'RUNX3', 'SAP30', 'FOXO1', 'ATF3', 'GSC', 'ATF2', 'SMAD3', 'SERPINE1', 'ESR1', 'KAT2A', 'CDK2', 'KAT2B', 'RUNX2', 'MYC', 'CDK4', 'CDKN2B', 'MAX', 'PIAS4', 'SMAD2', 'SNIP1', 'SIN3A', 'TFDP1', 'NCOR1', 'NKX2-5', 'FOS', 'TFE3', 'TGIF2', 'SKIL', 'IGHA1', 'LAMC1', 'COL1A2', 'DLX1', 'HDAC1', 'FOXG1', 'AKT1', 'VDR', 'HDAC2', 'HSPA8', 'ZBTB17', 'ITGB5', 'IFNB1', 'MYOD1', 'SAP18', 'IL10', 'RBBP7', 'PIAS3', 'JUN', 'CDKN1A', 'NCOA1', 'CEBPB']"
PID,PID_FCER1_PATHWAY,"['SOS1', 'JUN', 'GRB2', 'PLPP1', 'DOK1', 'PIK3R1', 'LYN', 'HRAS', 'RASA1', 'MAP2K1', 'PTPN13', 'AKT1', 'MAPK3', 'PLA2G4A', 'RAF1', 'PAK2', 'PLA2G1B', 'PRKCB', 'FCGR2B', 'BTK', 'LAT2', 'HCLS1', 'FYN', 'MAPK1', 'RELA', 'GAB2', 'DUSP1', 'SPHK1', 'IGHE', 'CHUK', 'CBLB', 'S1PR1', 'MAP3K1', 'PTPN11', 'LCP2', 'IKBKB', 'FCER1A', 'MS4A2', 'FCER1G', 'SYK', 'VAV1', 'FER', 'WIPF1', 'ITK', 'PIK3CA', 'MAP2K7', 'CBL', 'NFATC2', 'SHC1', 'MAP2K2', 'MAPK8', 'PTK2', 'LAT', 'PLD2', 'MAP2K4', 'NFKB1', 'FOS', 'PXN', 'IKBKG', 'PLCG1']"
PID,PID_ENDOTHELIN_PATHWAY,"['PLCB3', 'MAPK14', 'MMP1', 'ADCY9', 'SLC9A1', 'GNAL', 'FOS', 'EDNRB', 'SRC', 'PTK2B', 'COL3A1', 'CYSLTR2', 'PRKCQ', 'ADCY8', 'ADCY4', 'EDN3', 'PLA2G4A', 'BCAR1', 'GNAZ', 'ADCY7', 'COL1A2', 'GNA12', 'GNAQ', 'AKT1', 'CYSLTR1', 'EDNRA', 'MAP2K1', 'PRKCG', 'GNA11', 'GNAO1', 'GNA15', 'CRK', 'MAP2K2', 'GNA14', 'GNAI1', 'PRKCE', 'SLC9A3', 'RAF1', 'RHOA', 'JUN', 'JAK2', 'ADCY5', 'PRKCH', 'PRKCD', 'CDC42', 'ADCY6', 'ADCY2', 'GNAI2', 'ADCY3', 'MAPK8', 'TRPC6', 'EDN2', 'RAC1', 'PLCB1', 'GNAI3', 'MAPK1', 'HRAS', 'PRKCB', 'PLCB2', 'EDN1', 'ADCY1', 'MAPK3', 'PRKCA']"
PID,PID_BCR_5PATHWAY,"['IKBKG', 'BCL10', 'BLNK', 'PTPRC', 'HRAS', 'PAG1', 'PPP3CA', 'CD19', 'VAV2', 'NFKBIB', 'DAPP1', 'RASA1', 'BCL2A1', 'PDPK1', 'GRB2', 'DOK1', 'CD79A', 'PTPN6', 'SOS1', 'PTEN', 'MAPK3', 'AKT1', 'CHUK', 'CD72', 'MAPK8', 'PIK3CA', 'PPP3CC', 'MAP4K1', 'TRAF6', 'IKBKB', 'LYN', 'MAP3K7', 'CARD11', 'NFKB1', 'NFATC1', 'CSNK2A1', 'PIK3R1', 'PPP3CB', 'CAMK2G', 'CD22', 'FCGR2B', 'ETS1', 'SH3BP5', 'MAP3K1', 'MAPK1', 'MAP2K1', 'RELA', 'JUN', 'IBTK', 'CSK', 'NFKBIA', 'SYK', 'ELK1', 'MALT1', 'SHC1', 'PLCG2', 'FOS', 'POU2F2', 'MAPK14', 'CD79B', 'RAC1', 'RAF1', 'BTK']"
PID,PID_PRL_SIGNALING_EVENTS_PATHWAY,"['ITGA1', 'RABGGTA', 'CCNE1', 'MAPK3', 'RABGGTB', 'CDK2', 'TUBA1B', 'RHOC', 'ATF5', 'PTP4A2', 'ROCK1', 'SRC', 'BCAR1', 'EGR1', 'RHOA', 'ITGB1', 'PTP4A3', 'MAPK1', 'PTP4A1', 'CCNA2', 'CDKN1A', 'RAC1', 'AGT']"
PID,PID_RHOA_PATHWAY,"['MAP2K6', 'MRTFA', 'PKN1', 'PKN2', 'PIP5K1A', 'MAP2K4', 'ROCK2', 'RHOA', 'PLD1', 'SLC9A3', 'EZR', 'MAP2K3', 'CIT', 'ITGB1', 'PRKCZ', 'VCL', 'PTEN', 'CDKN1B', 'F2RL2', 'FOS', 'CFL1', 'SLC9A1', 'DIAPH1', 'SCAI', 'ATF2', 'MSN', 'MAPK8', 'SH3GL2', 'PIP5K1B', 'ROCK1', 'SRF', 'TLN1', 'PIP5K1C', 'PARD6A', 'CCN1', 'JUN', 'RDX', 'MAPK12', 'CDC42', 'PPP1R12A', 'ACTA1', 'PLD2', 'LIMK1', 'MYL2', 'LIMK2']"
PID,PID_ERBB4_PATHWAY,"['LRIG1', 'NEDD4', 'FYN', 'STAT5A', 'ITCH', 'DLG4', 'MDM2', 'TAB2', 'YAP1', 'NRG2', 'PIK3R1', 'ERBB4', 'BTC', 'PIK3R2', 'EREG', 'PIK3R3', 'STAT5B', 'WWP1', 'PIK3CA', 'WWOX', 'CBFA2T3', 'MAPK3', 'HBEGF', 'JAK2', 'PRL', 'MAPK1', 'PIK3CD', 'PRLR', 'NRG1', 'NCOR1', 'PIK3CB', 'GRB2', 'GRIN2B', 'ADAM17', 'SHC1', 'ERBB2', 'NRG4', 'NRG3']"
PID,PID_AURORA_B_PATHWAY,"['PPP1CC', 'KIF23', 'NCAPH', 'SGO1', 'STMN1', 'AURKC', 'MYLK', 'SMC2', 'RHOA', 'BIRC5', 'KIF2C', 'NCL', 'CBX5', 'CDCA8', 'SEPTIN1', 'VIM', 'DES', 'KLHL9', 'RACGAP1', 'AURKA', 'INCENP', 'PSMA3', 'NSUN2', 'NCAPD2', 'RASA1', 'KLHL13', 'BUB1', 'NDC80', 'SMC4', 'NCAPG', 'AURKB', 'KIF20A', 'TACC1', 'PPP2R5D', 'PEBP1', 'CENPA', 'EVI5', 'CUL3', 'NPM1']"
PID,PID_LYSOPHOSPHOLIPID_PATHWAY,"['BCAR1', 'PLCB3', 'GNAI3', 'GSK3B', 'RELA', 'PTK2', 'ADCY1', 'LYN', 'ADCY7', 'PLD2', 'GNA12', 'HRAS', 'ADCY4', 'ADCY2', 'NFKBIA', 'NFKB1', 'ADCY8', 'EGFR', 'LPAR3', 'LPAR1', 'LPAR4', 'ADRA1B', 'GNB1', 'CRK', 'PRKCD', 'IL6', 'AKT1', 'PLCG1', 'TIAM1', 'ARHGEF1', 'GNA14', 'GNA11', 'LPAR2', 'ADCY9', 'RHOA', 'MMP9', 'GNAZ', 'GNAO1', 'PIK3CB', 'MMP2', 'PIK3R1', 'GNAI1', 'PTK2B', 'PRKCE', 'PXN', 'PRKD1', 'FOS', 'CXCL8', 'GAB1', 'ADCY6', 'JUN', 'RAC1', 'GNAI2', 'ADCY5', 'GNA13', 'GNAQ', 'MAPT', 'ADCY3', 'HBEGF', 'CASP3', 'GNA15', 'SRC', 'GNG2', 'TRIP6', 'SLC9A3R2']"
PID,PID_INSULIN_PATHWAY,"['PARD6A', 'EXOC6', 'GRB10', 'PRKCI', 'EXOC5', 'EXOC3', 'EXOC1', 'RASA1', 'SHC1', 'EXOC7', 'SH2B2', 'CBL', 'SORBS1', 'PDPK1', 'INS', 'AKT2', 'EIF4EBP1', 'NCK2', 'TRIP10', 'SOS1', 'HRAS', 'RAPGEF1', 'INSR', 'NCK1', 'PTPN1', 'EXOC2', 'IRS1', 'PIK3R1', 'PTPN11', 'DOK1', 'FOXO3', 'EXOC4', 'CAV1', 'GRB2', 'AKT1', 'SGK1', 'GRB14', 'RPS6KB1', 'F2RL2', 'CRK', 'PRKCZ', 'RHOQ', 'PTPRA', 'PIK3CA']"
PID,PID_NOTCH_PATHWAY,"['NCOR1', 'NOTCH1', 'DTX1', 'FURIN', 'SSPOP', 'DLL1', 'DNM1', 'PTCRA', 'RAB11A', 'NEURL1', 'CTBP1', 'FBXW7', 'NUMB', 'CBL', 'MFAP2', 'MYCBP', 'DLL4', 'MAML1', 'SPEN', 'MYC', 'SKP2', 'CNTN6', 'NOTCH2', 'PSEN1', 'MAML2', 'YY1', 'GATA3', 'ENO1', 'ITCH', 'IL4', 'APH1B', 'LNX1', 'NCOR2', 'RBPJ', 'CDKN1A', 'JAG2', 'ADAM12', 'DLK1', 'EPS15', 'DNER', 'SKP1', 'NOTCH3', 'RBBP8', 'NOTCH4', 'JAG1', 'APH1A', 'DLL3', 'PSENEN', 'MFAP5', 'NCSTN', 'CCND1', 'EP300', 'HDAC1', 'MARK2', 'MIB1', 'ADAM10', 'CUL1', 'CNTN1', 'KDM1A']"
PID,PID_INTEGRIN1_PATHWAY,"['ITGA3', 'ITGA9', 'COL4A4', 'IGSF8', 'COL5A1', 'COL11A1', 'ITGA7', 'CD81', 'NID1', 'VTN', 'TGFBI', 'PLAU', 'LAMB1', 'COL4A1', 'ITGB1', 'COL7A1', 'LAMA4', 'LAMA1', 'ITGA5', 'COL6A2', 'THBS2', 'PLAUR', 'COL2A1', 'COL4A5', 'ITGA10', 'COL1A1', 'LAMA2', 'COL5A2', 'SPP1', 'COL18A1', 'LAMC1', 'ITGA4', 'COL4A3', 'VCAM1', 'CD14', 'COL3A1', 'THBS1', 'ITGA11', 'COL1A2', 'LAMC2', 'LAMA3', 'CSPG4', 'FGA', 'COL6A1', 'LAMB3', 'FBN1', 'MDK', 'FN1', 'ITGA1', 'VEGFA', 'ITGAV', 'COL4A6', 'LAMA5', 'FGB', 'COL6A3', 'TGM2', 'F13A1', 'ITGA2', 'LAMB2', 'JAM2', 'FGG', 'ITGA6', 'COL11A2', 'TNC', 'ITGA8', 'NPNT']"
PID,PID_P73PATHWAY,"['TP53I3', 'ADA', 'FAS', 'PML', 'GRAMD4', 'NSG1', 'PFDN5', 'WT1', 'EP300', 'PLPP1', 'GATA1', 'YAP1', 'BIN1', 'GDF15', 'FBXO45', 'RCHY1', 'BAX', 'IL4R', 'MDM2', 'FLOT2', 'PLK3', 'CCNB1', 'S100A2', 'AFP', 'RNF43', 'MAPK11', 'TP73', 'KAT5', 'CDK6', 'SERPINE1', 'WWOX', 'BRCA2', 'CCNA2', 'RACK1', 'SIRT1', 'PIN1', 'BUB3', 'MYC', 'AEN', 'CDK1', 'MAPK14', 'DEDD', 'BBC3', 'CLCA2', 'JAG2', 'ABL1', 'PRKACB', 'CDK2', 'DCP1B', 'BCL2L11', 'PLK1', 'SFN', 'HEY2', 'JAK1', 'RELA', 'NDUFS2', 'ITCH', 'NEDD4L', 'PEA15', 'SP1', 'HAGH', 'TP53AIP1', 'RB1', 'NTRK1', 'RAD51', 'TP63', 'FASN', 'CHEK1', 'BAK1', 'IL1RAP', 'HSF1', 'UBE4B', 'SERPINA1', 'CCNE2', 'BUB1', 'FOXO3', 'TUBA1A', 'CDKN1A', 'CASP2']"
PID,PID_P38_MKK3_6PATHWAY,"['TAOK1', 'GADD45B', 'TAB1', 'MAP3K5', 'MAP3K10', 'TXN', 'MAP3K3', 'MAP3K7', 'TAB2', 'MAP3K6', 'TRAF2', 'TRAF6', 'MAP2K6', 'MAP3K4', 'TAOK3', 'CCM2', 'MAPK11', 'MAP2K3', 'CAMK2B', 'RAC1', 'GADD45G', 'GADD45A', 'MAP3K1', 'MAPK14', 'ATM', 'TAOK2']"
PID,PID_GMCSF_PATHWAY,"['CSF2RA', 'YWHAZ', 'PIK3R1', 'NRAS', 'CSF2RB', 'MAPK3', 'MAP2K2', 'MAPK1', 'FOS', 'GAB2', 'PRKACB', 'CCL2', 'STAT5B', 'OSM', 'GRB2', 'PIM1', 'LYN', 'CISH', 'CSF2', 'IKBKB', 'KRAS', 'STAT1', 'HRAS', 'STAT3', 'PRKACA', 'RAF1', 'SHC1', 'STAT5A', 'PIK3CA', 'JAK2', 'PRKACG', 'PTPN11', 'SYK', 'MAP2K1', 'SOS1', 'IRF8']"
PID,PID_WNT_NONCANONICAL_PATHWAY,"['YES1', 'PRKCZ', 'MAP3K7', 'TAB2', 'FLNA', 'CSNK1A1', 'CDC42', 'DAAM1', 'FZD7', 'WNT5A', 'ROR2', 'NFATC2', 'SETDB1', 'NLK', 'ROCK1', 'RAC1', 'ARRB2', 'FZD5', 'MAPK8', 'CHD7', 'MAPK9', 'PPARG', 'CAMK2A', 'DVL1', 'RHOA', 'FZD6', 'CTHRC1', 'DVL2', 'DVL3', 'FZD2', 'TAB1', 'MAPK10']"
PID,PID_NFKAPPAB_ATYPICAL_PATHWAY,"['PIK3CA', 'NFKB1', 'CSNK2B', 'SYK', 'CSNK2A1', 'PIK3R1', 'SSPOP', 'MAPK14', 'LCK', 'NFKBIA', 'RELA', 'SRC', 'BCL3', 'IKBKB', 'ARRB2', 'REL', 'CSNK2A2']"
PID,PID_IL4_2PATHWAY,"['CEBPB', 'COL1A1', 'SELP', 'MYB', 'CBL', 'ALOX15', 'IRF4', 'MTOR', 'IL13RA1', 'IL13RA2', 'AICDA', 'JAK1', 'JAK2', 'FES', 'IGHG1', 'TFF3', 'STAT5B', 'PIK3R1', 'THY1', 'MYBL1', 'STAT5A', 'CCL17', 'IL2RG', 'MAPK14', 'PIGR', 'LTA', 'SPI1', 'COL1A2', 'AKT1', 'FCER2', 'IGHE', 'CCL11', 'ARG1', 'OPRM1', 'PTPN6', 'CD40LG', 'PARP14', 'SOCS5', 'JAK3', 'BCL2L1', 'EGR2', 'IRS2', 'GRB2', 'IL4', 'IRS1', 'IL5', 'RPS6KB1', 'STAT6', 'SOCS1', 'ITGB3', 'RETNLB', 'ETS1', 'SP1', 'SHC1', 'BCL6', 'HMGA1', 'CCL26', 'IL4R', 'IGHG3', 'PIK3CA', 'IL10', 'DOK2', 'SOCS3', 'GTF3A']"
PID,PID_BETA_CATENIN_DEG_PATHWAY,"['LRP6', 'WNT3A', 'AXIN2', 'SKP1', 'AXIN1', 'GSK3B', 'SSPOP', 'DVL2', 'CSNK1D', 'DVL1', 'CUL1', 'APC', 'CTNNB1', 'GSK3A', 'CSNK1E', 'CSNK1A1', 'FZD5', 'DVL3']"
PID,PID_HDAC_CLASSIII_PATHWAY,"['SIRT3', 'HOXA10', 'H4C9', 'MYOD1', 'FOXO1', 'SIRT7', 'FOXO4', 'PPARGC1A', 'CREBBP', 'HDAC4', 'BAX', 'TP53', 'MEF2D', 'ACSS1', 'XRCC6', 'FHL2', 'SIRT1', 'FOXO3', 'EP300', 'ACSS2', 'SIRT2', 'KAT2B', 'CDKN1A', 'H1-4', 'TUBB2A', 'TUBA1B']"
