Gene stable ID,Human gene stable ID,Human gene name
ENSMUSG00000029299,ENSG00000118777,ABCG2
ENSMUSG00000032131,ENSG00000172350,ABCG4
ENSMUSG00000040505,ENSG00000138075,ABCG5
ENSMUSG00000024254,ENSG00000143921,ABCG8
ENSMUSG00000006638,ENSG00000143994,ABHD1
ENSMUSG00000033157,ENSG00000144827,ABHD10
ENSMUSG00000040532,ENSG00000106077,ABHD11
ENSMUSG00000032046,ENSG00000100997,ABHD12
ENSMUSG00000090121,ENSG00000131969,ABHD12B
ENSMUSG00000040396,ENSG00000139826,ABHD13
ENSMUSG00000042210,ENSG00000248487,ABHD14A
ENSMUSG00000042073,ENSG00000114779,ABHD14B
ENSMUSG00000000686,ENSG00000168792,ABHD15
ENSMUSG00000007036,ENSG00000204427,ABHD16A
ENSMUSG00000055882,ENSG00000183260,ABHD16B
ENSMUSG00000003346,ENSG00000129968,ABHD17A
ENSMUSG00000047368,ENSG00000107362,ABHD17B
ENSMUSG00000038459,ENSG00000136379,ABHD17C
ENSMUSG00000037818,ENSG00000164074,ABHD18
ENSMUSG00000039202,ENSG00000140526,ABHD2
ENSMUSG00000002475,ENSG00000158201,ABHD3
ENSMUSG00000040997,ENSG00000100439,ABHD4
ENSMUSG00000032540,ENSG00000011198,ABHD5
ENSMUSG00000025277,ENSG00000163686,ABHD6
ENSMUSG00000007950,ENSG00000127220,ABHD8
ENSMUSG00000058835,ENSG00000136754,ABI1
ENSMUSG00000026782,ENSG00000138443,ABI2
ENSMUSG00000018381,ENSG00000108798,ABI3
ENSMUSG00000035258,ENSG00000154175,ABI3BP
ENSMUSG00000038827,ENSG00000119328,ABITRAM
ENSMUSG00000026842,ENSG00000097007,ABL1
ENSMUSG00000026596,ENSG00000143322,ABL2
ENSMUSG00000025085,ENSG00000099204,ABLIM1
ENSMUSG00000029095,ENSG00000163995,ABLIM2
ENSMUSG00000032735,ENSG00000173210,ABLIM3
ENSMUSG00000015787,ENSG00000175164,ABO
ENSMUSG00000017631,ENSG00000159842,ABR
ENSMUSG00000042895,ENSG00000174429,ABRA
ENSMUSG00000078453,ENSG00000146386,ABRACL
ENSMUSG00000035234,ENSG00000163322,ABRAXAS1
ENSMUSG00000030965,ENSG00000165660,ABRAXAS2
ENSMUSG00000036376,ENSG00000146109,ABT1
ENSMUSG00000030083,ENSG00000114626,ABTB1
ENSMUSG00000032724,ENSG00000166016,ABTB2
ENSMUSG00000020042,ENSG00000151136,ABTB3
ENSMUSG00000010651,ENSG00000060971,ACAA1
ENSMUSG00000036138,ENSG00000060971,ACAA1
ENSMUSG00000036880,ENSG00000167315,ACAA2
ENSMUSG00000020532,ENSG00000278540,ACACA
ENSMUSG00000042010,ENSG00000076555,ACACB
ENSMUSG00000042647,ENSG00000111271,ACAD10
ENSMUSG00000029456,ENSG00000111271,ACAD10
ENSMUSG00000090150,ENSG00000240303,ACAD11
ENSMUSG00000031969,ENSG00000151498,ACAD8
ENSMUSG00000027710,ENSG00000177646,ACAD9
ENSMUSG00000026003,ENSG00000115361,ACADL
ENSMUSG00000062908,ENSG00000117054,ACADM
ENSMUSG00000029545,ENSG00000122971,ACADS
ENSMUSG00000030861,ENSG00000196177,ACADSB
ENSMUSG00000018574,ENSG00000072778,ACADVL
ENSMUSG00000030607,ENSG00000157766,ACAN
ENSMUSG00000001588,ENSG00000072818,ACAP1
ENSMUSG00000049076,ENSG00000114331,ACAP2
ENSMUSG00000029033,ENSG00000131584,ACAP3
ENSMUSG00000032047,ENSG00000075239,ACAT1
ENSMUSG00000062480,ENSG00000120437,ACAT2
ENSMUSG00000023832,ENSG00000120437,ACAT2
ENSMUSG00000026499,ENSG00000182827,ACBD3
ENSMUSG00000056938,ENSG00000181513,ACBD4
ENSMUSG00000026781,ENSG00000107897,ACBD5
ENSMUSG00000033701,ENSG00000230124,ACBD6
ENSMUSG00000026644,ENSG00000176244,ACBD7
ENSMUSG00000040272,ENSG00000110455,ACCS
ENSMUSG00000075023,ENSG00000205126,ACCSL
ENSMUSG00000038000,ENSG00000102977,ACD
ENSMUSG00000020681,ENSG00000159640,ACE
ENSMUSG00000015405,ENSG00000130234,ACE2
ENSMUSG00000045019,ENSG00000167769,ACER1
ENSMUSG00000038007,ENSG00000177076,ACER2
ENSMUSG00000030760,ENSG00000078124,ACER3
ENSMUSG00000023328,ENSG00000087085,ACHE
ENSMUSG00000022185,ENSG00000100813,ACIN1
ENSMUSG00000037872,ENSG00000213088,ACKR1
ENSMUSG00000044534,ENSG00000144648,ACKR2
ENSMUSG00000044337,ENSG00000144476,ACKR3
ENSMUSG00000079355,ENSG00000129048,ACKR4
ENSMUSG00000020917,ENSG00000131473,ACLY
ENSMUSG00000026348,ENSG00000153086,ACMSD
ENSMUSG00000028405,ENSG00000122729,ACO1
ENSMUSG00000022477,ENSG00000100412,ACO2
ENSMUSG00000022126,ENSG00000102794,ACOD1
ENSMUSG00000021226,ENSG00000184227,ACOT1
ENSMUSG00000072949,ENSG00000184227,ACOT1
ENSMUSG00000021228,ENSG00000184227,ACOT1
ENSMUSG00000042540,ENSG00000184227,ACOT1
ENSMUSG00000034853,ENSG00000162390,ACOT11
ENSMUSG00000021620,ENSG00000172497,ACOT12
ENSMUSG00000006717,ENSG00000112304,ACOT13
ENSMUSG00000021226,ENSG00000119673,ACOT2
ENSMUSG00000072949,ENSG00000119673,ACOT2
ENSMUSG00000021228,ENSG00000119673,ACOT2
ENSMUSG00000042540,ENSG00000119673,ACOT2
ENSMUSG00000052392,ENSG00000177465,ACOT4
ENSMUSG00000043487,ENSG00000205669,ACOT6
ENSMUSG00000028937,ENSG00000097021,ACOT7
ENSMUSG00000017307,ENSG00000101473,ACOT8
ENSMUSG00000025287,ENSG00000123130,ACOT9
ENSMUSG00000047565,ENSG00000123130,ACOT9
ENSMUSG00000020777,ENSG00000161533,ACOX1
ENSMUSG00000021751,ENSG00000168306,ACOX2
ENSMUSG00000029098,ENSG00000087008,ACOX3
ENSMUSG00000027380,ENSG00000153093,ACOXL
ENSMUSG00000044573,ENSG00000143727,ACP1
ENSMUSG00000002103,ENSG00000134575,ACP2
ENSMUSG00000032561,ENSG00000014257,ACP3
ENSMUSG00000012777,ENSG00000142513,ACP4
ENSMUSG00000001348,ENSG00000102575,ACP5
ENSMUSG00000028093,ENSG00000162836,ACP6
ENSMUSG00000037469,ENSG00000183760,ACP7
ENSMUSG00000022622,ENSG00000100312,ACR
ENSMUSG00000072770,ENSG00000111644,ACRBP
ENSMUSG00000032110,ENSG00000134940,ACRV1
ENSMUSG00000032281,ENSG00000103740,ACSBG1
ENSMUSG00000024207,ENSG00000130377,ACSBG2
ENSMUSG00000076435,ENSG00000167107,ACSF2
ENSMUSG00000015016,ENSG00000176715,ACSF3
ENSMUSG00000018796,ENSG00000151726,ACSL1
ENSMUSG00000032883,ENSG00000123983,ACSL3
ENSMUSG00000031278,ENSG00000068366,ACSL4
ENSMUSG00000024981,ENSG00000197142,ACSL5
ENSMUSG00000020333,ENSG00000164398,ACSL6
ENSMUSG00000033533,ENSG00000166743,ACSM1
ENSMUSG00000030945,ENSG00000183747,ACSM2A
ENSMUSG00000030945,ENSG00000066813,ACSM2B
ENSMUSG00000030935,ENSG00000005187,ACSM3
ENSMUSG00000047026,ENSG00000215009,ACSM4
ENSMUSG00000030972,ENSG00000183549,ACSM5
ENSMUSG00000027452,ENSG00000154930,ACSS1
ENSMUSG00000027605,ENSG00000131069,ACSS2
ENSMUSG00000035948,ENSG00000111058,ACSS3
ENSMUSG00000031972,ENSG00000143632,ACTA1
ENSMUSG00000035783,ENSG00000107796,ACTA2
ENSMUSG00000029580,ENSG00000075624,ACTB
ENSMUSG00000055194,ENSG00000169067,ACTBL2
ENSMUSG00000068614,ENSG00000159251,ACTC1
ENSMUSG00000062825,ENSG00000184009,ACTG1
ENSMUSG00000059430,ENSG00000163017,ACTG2
ENSMUSG00000078129,ENSG00000288649,ACTL10
ENSMUSG00000027671,ENSG00000136518,ACTL6A
ENSMUSG00000029712,ENSG00000077080,ACTL6B
ENSMUSG00000070979,ENSG00000187003,ACTL7A
ENSMUSG00000070980,ENSG00000148156,ACTL7B
ENSMUSG00000092519,ENSG00000181786,ACTL9
ENSMUSG00000078786,ENSG00000188493,ACTMAP
ENSMUSG00000015143,ENSG00000072110,ACTN1
ENSMUSG00000052374,ENSG00000077522,ACTN2
ENSMUSG00000006457,ENSG00000248746,ACTN3
ENSMUSG00000054808,ENSG00000130402,ACTN4
ENSMUSG00000021076,ENSG00000131966,ACTR10
ENSMUSG00000025228,ENSG00000138107,ACTR1A
ENSMUSG00000037351,ENSG00000115073,ACTR1B
ENSMUSG00000020152,ENSG00000138071,ACTR2
ENSMUSG00000026341,ENSG00000115091,ACTR3
ENSMUSG00000056367,ENSG00000106526,ACTR3C
ENSMUSG00000037761,ENSG00000101442,ACTR5
ENSMUSG00000019948,ENSG00000075089,ACTR6
ENSMUSG00000015971,ENSG00000113812,ACTR8
ENSMUSG00000046615,ENSG00000123165,ACTRT1
ENSMUSG00000051276,ENSG00000169717,ACTRT2
ENSMUSG00000037737,ENSG00000184378,ACTRT3
ENSMUSG00000026836,ENSG00000115170,ACVR1
ENSMUSG00000000532,ENSG00000135503,ACVR1B
ENSMUSG00000026834,ENSG00000123612,ACVR1C
ENSMUSG00000052155,ENSG00000121989,ACVR2A
ENSMUSG00000061393,ENSG00000114739,ACVR2B
ENSMUSG00000000530,ENSG00000139567,ACVRL1
ENSMUSG00000023262,ENSG00000243989,ACY1
ENSMUSG00000024866,ENSG00000132744,ACY3
ENSMUSG00000060923,ENSG00000170634,ACYP2
ENSMUSG00000017697,ENSG00000196839,ADA
ENSMUSG00000027719,ENSG00000164113,ADAD1
ENSMUSG00000024266,ENSG00000140955,ADAD2
ENSMUSG00000027259,ENSG00000168803,ADAL
ENSMUSG00000054693,ENSG00000137845,ADAM10
ENSMUSG00000020926,ENSG00000073670,ADAM11
ENSMUSG00000054555,ENSG00000148848,ADAM12
ENSMUSG00000028041,ENSG00000143537,ADAM15
ENSMUSG00000052593,ENSG00000151694,ADAM17
ENSMUSG00000031552,ENSG00000168619,ADAM18
ENSMUSG00000022039,ENSG00000104755,ADAM2
ENSMUSG00000071937,ENSG00000134007,ADAM20
ENSMUSG00000046282,ENSG00000134007,ADAM20
ENSMUSG00000054033,ENSG00000134007,ADAM20
ENSMUSG00000008438,ENSG00000139985,ADAM21
ENSMUSG00000040537,ENSG00000008277,ADAM22
ENSMUSG00000025964,ENSG00000114948,ADAM23
ENSMUSG00000014725,ENSG00000042980,ADAM28
ENSMUSG00000046258,ENSG00000168594,ADAM29
ENSMUSG00000043468,ENSG00000134249,ADAM30
ENSMUSG00000037437,ENSG00000197140,ADAM32
ENSMUSG00000027318,ENSG00000149451,ADAM33
ENSMUSG00000022056,ENSG00000069206,ADAM7
ENSMUSG00000025473,ENSG00000151651,ADAM8
ENSMUSG00000031555,ENSG00000168615,ADAM9
ENSMUSG00000022057,ENSG00000134028,ADAMDEC1
ENSMUSG00000022893,ENSG00000154734,ADAMTS1
ENSMUSG00000024299,ENSG00000142303,ADAMTS10
ENSMUSG00000047497,ENSG00000151388,ADAMTS12
ENSMUSG00000014852,ENSG00000160323,ADAMTS13
ENSMUSG00000059901,ENSG00000138316,ADAMTS14
ENSMUSG00000033453,ENSG00000166106,ADAMTS15
ENSMUSG00000049538,ENSG00000145536,ADAMTS16
ENSMUSG00000058145,ENSG00000140470,ADAMTS17
ENSMUSG00000053399,ENSG00000140873,ADAMTS18
ENSMUSG00000053441,ENSG00000145808,ADAMTS19
ENSMUSG00000036545,ENSG00000087116,ADAMTS2
ENSMUSG00000022449,ENSG00000173157,ADAMTS20
ENSMUSG00000043635,ENSG00000156140,ADAMTS3
ENSMUSG00000006403,ENSG00000158859,ADAMTS4
ENSMUSG00000022894,ENSG00000154736,ADAMTS5
ENSMUSG00000046169,ENSG00000049192,ADAMTS6
ENSMUSG00000032363,ENSG00000136378,ADAMTS7
ENSMUSG00000031994,ENSG00000134917,ADAMTS8
ENSMUSG00000030022,ENSG00000163638,ADAMTS9
ENSMUSG00000066113,ENSG00000178031,ADAMTSL1
ENSMUSG00000036040,ENSG00000197859,ADAMTSL2
ENSMUSG00000070469,ENSG00000156218,ADAMTSL3
ENSMUSG00000015850,ENSG00000143382,ADAMTSL4
ENSMUSG00000043822,ENSG00000185761,ADAMTSL5
ENSMUSG00000056413,ENSG00000105963,ADAP1
ENSMUSG00000020709,ENSG00000184060,ADAP2
ENSMUSG00000027951,ENSG00000160710,ADAR
ENSMUSG00000020262,ENSG00000197381,ADARB1
ENSMUSG00000052551,ENSG00000185736,ADARB2
ENSMUSG00000031949,ENSG00000065457,ADAT1
ENSMUSG00000019808,ENSG00000189007,ADAT2
ENSMUSG00000113640,ENSG00000213638,ADAT3
ENSMUSG00000035370,ENSG00000213638,ADAT3
ENSMUSG00000021044,ENSG00000063761,ADCK1
ENSMUSG00000046947,ENSG00000133597,ADCK2
ENSMUSG00000022550,ENSG00000173137,ADCK5
ENSMUSG00000020431,ENSG00000164742,ADCY1
ENSMUSG00000026567,ENSG00000143199,ADCY10
ENSMUSG00000021536,ENSG00000078295,ADCY2
ENSMUSG00000020654,ENSG00000138031,ADCY3
ENSMUSG00000022220,ENSG00000129467,ADCY4
ENSMUSG00000022840,ENSG00000173175,ADCY5
ENSMUSG00000022994,ENSG00000174233,ADCY6
ENSMUSG00000031659,ENSG00000121281,ADCY7
ENSMUSG00000022376,ENSG00000155897,ADCY8
ENSMUSG00000005580,ENSG00000162104,ADCY9
ENSMUSG00000024256,ENSG00000141433,ADCYAP1
ENSMUSG00000029778,ENSG00000078549,ADCYAP1R1
ENSMUSG00000029106,ENSG00000087274,ADD1
ENSMUSG00000030000,ENSG00000075340,ADD2
ENSMUSG00000025026,ENSG00000148700,ADD3
ENSMUSG00000050994,ENSG00000118492,ADGB
ENSMUSG00000025475,ENSG00000197177,ADGRA1
ENSMUSG00000031486,ENSG00000020181,ADGRA2
ENSMUSG00000029090,ENSG00000152990,ADGRA3
ENSMUSG00000034730,ENSG00000181790,ADGRB1
ENSMUSG00000028782,ENSG00000121753,ADGRB2
ENSMUSG00000033569,ENSG00000135298,ADGRB3
ENSMUSG00000044017,ENSG00000111452,ADGRD1
ENSMUSG00000004730,ENSG00000174837,ADGRE1
ENSMUSG00000002885,ENSG00000123146,ADGRE5
ENSMUSG00000041293,ENSG00000153292,ADGRF1
ENSMUSG00000067642,ENSG00000173567,ADGRF3
ENSMUSG00000023918,ENSG00000153294,ADGRF4
ENSMUSG00000056492,ENSG00000069122,ADGRF5
ENSMUSG00000031785,ENSG00000205336,ADGRG1
ENSMUSG00000031298,ENSG00000173698,ADGRG2
ENSMUSG00000060470,ENSG00000182885,ADGRG3
ENSMUSG00000053852,ENSG00000156920,ADGRG4
ENSMUSG00000061577,ENSG00000159618,ADGRG5
ENSMUSG00000039116,ENSG00000112414,ADGRG6
ENSMUSG00000022755,ENSG00000144820,ADGRG7
ENSMUSG00000013033,ENSG00000072071,ADGRL1
ENSMUSG00000028184,ENSG00000117114,ADGRL2
ENSMUSG00000037605,ENSG00000150471,ADGRL3
ENSMUSG00000039167,ENSG00000162618,ADGRL4
ENSMUSG00000069170,ENSG00000164199,ADGRV1
ENSMUSG00000074207,ENSG00000187758,ADH1A
ENSMUSG00000074207,ENSG00000196616,ADH1B
ENSMUSG00000074207,ENSG00000248144,ADH1C
ENSMUSG00000037797,ENSG00000198099,ADH4
ENSMUSG00000028138,ENSG00000197894,ADH5
ENSMUSG00000074206,ENSG00000172955,ADH6
ENSMUSG00000055301,ENSG00000196344,ADH7
ENSMUSG00000025911,ENSG00000147576,ADHFE1
ENSMUSG00000020629,ENSG00000182551,ADI1
ENSMUSG00000044405,ENSG00000182035,ADIG
ENSMUSG00000022878,ENSG00000181092,ADIPOQ
ENSMUSG00000026457,ENSG00000159346,ADIPOR1
ENSMUSG00000030168,ENSG00000006831,ADIPOR2
ENSMUSG00000027327,ENSG00000101220,ADISSP
ENSMUSG00000039197,ENSG00000156110,ADK
ENSMUSG00000030790,ENSG00000148926,ADM
ENSMUSG00000054136,ENSG00000128165,ADM2
ENSMUSG00000051149,ENSG00000101126,ADNP
ENSMUSG00000053950,ENSG00000101544,ADNP2
ENSMUSG00000057134,ENSG00000181915,ADO
ENSMUSG00000042429,ENSG00000163485,ADORA1
ENSMUSG00000020178,ENSG00000128271,ADORA2A
ENSMUSG00000018500,ENSG00000170425,ADORA2B
ENSMUSG00000000562,ENSG00000282608,ADORA3
ENSMUSG00000025236,ENSG00000159322,ADPGK
ENSMUSG00000002844,ENSG00000144843,ADPRH
ENSMUSG00000031448,ENSG00000153531,ADPRHL1
ENSMUSG00000020910,ENSG00000170222,ADPRM
ENSMUSG00000042558,ENSG00000116863,ADPRS
ENSMUSG00000045875,ENSG00000120907,ADRA1A
ENSMUSG00000050541,ENSG00000170214,ADRA1B
ENSMUSG00000027335,ENSG00000171873,ADRA1D
ENSMUSG00000033717,ENSG00000150594,ADRA2A
ENSMUSG00000058620,ENSG00000274286,ADRA2B
ENSMUSG00000045318,ENSG00000184160,ADRA2C
ENSMUSG00000035283,ENSG00000043591,ADRB1
ENSMUSG00000045730,ENSG00000169252,ADRB2
ENSMUSG00000031489,ENSG00000188778,ADRB3
ENSMUSG00000042165,ENSG00000130706,ADRM1
ENSMUSG00000039041,ENSG00000130706,ADRM1
ENSMUSG00000022407,ENSG00000239900,ADSL
ENSMUSG00000011148,ENSG00000185100,ADSS1
ENSMUSG00000015961,ENSG00000035687,ADSS2
ENSMUSG00000058022,ENSG00000111863,ADTRP
ENSMUSG00000020473,ENSG00000106624,AEBP1
ENSMUSG00000030232,ENSG00000139154,AEBP2
ENSMUSG00000030609,ENSG00000181026,AEN
ENSMUSG00000029094,ENSG00000196526,AFAP1
ENSMUSG00000033032,ENSG00000157510,AFAP1L1
ENSMUSG00000025083,ENSG00000169129,AFAP1L2
ENSMUSG00000068036,ENSG00000130396,AFDN
ENSMUSG00000029313,ENSG00000172493,AFF1
ENSMUSG00000031189,ENSG00000155966,AFF2
ENSMUSG00000037138,ENSG00000144218,AFF3
ENSMUSG00000049470,ENSG00000072364,AFF4
ENSMUSG00000038302,ENSG00000135537,AFG1L
ENSMUSG00000027722,ENSG00000145375,AFG2A
ENSMUSG00000118663,ENSG00000171763,AFG2B
ENSMUSG00000024527,ENSG00000141385,AFG3L2
ENSMUSG00000029369,ENSG00000079557,AFM
ENSMUSG00000017718,ENSG00000183077,AFMID
ENSMUSG00000054932,ENSG00000081051,AFP
ENSMUSG00000049659,ENSG00000119844,AFTPH
ENSMUSG00000031521,ENSG00000038002,AGA
ENSMUSG00000055013,ENSG00000157985,AGAP1
ENSMUSG00000025422,ENSG00000135439,AGAP2
ENSMUSG00000023353,ENSG00000133612,AGAP3
ENSMUSG00000025754,ENSG00000273540,AGBL1
ENSMUSG00000040812,ENSG00000165923,AGBL2
ENSMUSG00000038836,ENSG00000146856,AGBL3
ENSMUSG00000061298,ENSG00000186094,AGBL4
ENSMUSG00000029165,ENSG00000084693,AGBL5
ENSMUSG00000015452,ENSG00000204305,AGER
ENSMUSG00000026159,ENSG00000173744,AGFG1
ENSMUSG00000029722,ENSG00000106351,AGFG2
ENSMUSG00000021681,ENSG00000164252,AGGF1
ENSMUSG00000029916,ENSG00000006530,AGK
ENSMUSG00000033400,ENSG00000162688,AGL
ENSMUSG00000040706,ENSG00000116771,AGMAT
ENSMUSG00000050103,ENSG00000187546,AGMO
ENSMUSG00000041530,ENSG00000092847,AGO1
ENSMUSG00000036698,ENSG00000123908,AGO2
ENSMUSG00000028842,ENSG00000126070,AGO3
ENSMUSG00000042500,ENSG00000134698,AGO4
ENSMUSG00000034254,ENSG00000204310,AGPAT1
ENSMUSG00000026922,ENSG00000169692,AGPAT2
ENSMUSG00000001211,ENSG00000160216,AGPAT3
ENSMUSG00000023827,ENSG00000026652,AGPAT4
ENSMUSG00000031467,ENSG00000155189,AGPAT5
ENSMUSG00000042410,ENSG00000018510,AGPS
ENSMUSG00000020581,ENSG00000106541,AGR2
ENSMUSG00000036231,ENSG00000173467,AGR3
ENSMUSG00000041936,ENSG00000188157,AGRN
ENSMUSG00000005705,ENSG00000159723,AGRP
ENSMUSG00000031980,ENSG00000135744,AGT
ENSMUSG00000021557,ENSG00000135049,AGTPBP1
ENSMUSG00000049115,ENSG00000144891,AGTR1
ENSMUSG00000054988,ENSG00000144891,AGTR1
ENSMUSG00000068122,ENSG00000180772,AGTR2
ENSMUSG00000029007,ENSG00000177674,AGTRAP
ENSMUSG00000026272,ENSG00000172482,AGXT
ENSMUSG00000089678,ENSG00000113492,AGXT2
ENSMUSG00000026491,ENSG00000153207,AHCTF1
ENSMUSG00000048087,ENSG00000101444,AHCY
ENSMUSG00000027597,ENSG00000101444,AHCY
ENSMUSG00000027893,ENSG00000168710,AHCYL1
ENSMUSG00000029772,ENSG00000158467,AHCYL2
ENSMUSG00000037692,ENSG00000126705,AHDC1
ENSMUSG00000019986,ENSG00000135541,AHI1
ENSMUSG00000069833,ENSG00000124942,AHNAK
ENSMUSG00000118667,ENSG00000185567,AHNAK2
ENSMUSG00000019256,ENSG00000106546,AHR
ENSMUSG00000021575,ENSG00000063438,AHRR
ENSMUSG00000021037,ENSG00000100591,AHSA1
ENSMUSG00000022868,ENSG00000145192,AHSG
ENSMUSG00000121605,ENSG00000169877,AHSP
ENSMUSG00000040627,ENSG00000111732,AICDA
ENSMUSG00000042901,ENSG00000186063,AIDA
ENSMUSG00000024397,ENSG00000204472,AIF1
ENSMUSG00000001864,ENSG00000126878,AIF1L
ENSMUSG00000036932,ENSG00000156709,AIFM1
ENSMUSG00000020085,ENSG00000042286,AIFM2
ENSMUSG00000022763,ENSG00000183773,AIFM3
ENSMUSG00000019806,ENSG00000146416,AIG1
ENSMUSG00000037860,ENSG00000163568,AIM2
ENSMUSG00000028029,ENSG00000164022,AIMP1
ENSMUSG00000029610,ENSG00000106305,AIMP2
ENSMUSG00000024847,ENSG00000110711,AIP
ENSMUSG00000040554,ENSG00000129221,AIPL1
ENSMUSG00000000731,ENSG00000160224,AIRE
ENSMUSG00000044730,ENSG00000116922,AIRIM
ENSMUSG00000039546,ENSG00000196581,AJAP1
